figure,panel,figure_piece,script,plot_id,builder,code_kind,data_rows,n_cells
Figure 1 - Supplement 1,B,Figure 1 - Supplement 1B (2) G5_mad1_timestrip_20260303_Mad1_Ptk_Eyfpmad1_ablation_10_aligned,Figure 1 - Supplement 1B (2) G5_mad1_timestrip_20260303_Mad1_Ptk_Eyfpmad1_ablation_10_aligned.py,G5_mad1_timestrip_20260303_Mad1_Ptk_Eyfpmad1_ablation_10_aligned,G5_mad1_timestrip_20260303_Mad1_Ptk_Eyfpmad1_ablation_10_aligned__group5_mad1_examples.py,archived copy,1,1
Figure 1 - Supplement 1,C,Figure 1 - Supplement 1C (1) 20250711_double_ablation_18_frap0_aligned,Figure 1 - Supplement 1C (1) 20250711_double_ablation_18_frap0_aligned.py,20250711_double_ablation_18_frap0_aligned,group_frap_timestrips.py,live builder (no archived copy),,1
Figure 1 - Supplement 1,C,Figure 1 - Supplement 1C (2) G4_frap_bps_trace_kinetics,Figure 1 - Supplement 1C (2) G4_frap_bps_trace_kinetics.py,G4_frap_bps_trace_kinetics,G4_frap_bps_trace_kinetics__custom_frap_bps_20260817.py,archived copy,25,229
Figure 1 - Supplement 1,D,Figure 1 - Supplement 1D,Figure 1 - Supplement 1D.py,ablation_count_by_cohort,ablation_count_by_cohort__ablation_count_by_cohort.py,archived copy,172,229
Figure 2,A,Figure 2A,Figure 2A.py,G1_violin2_no_dc_offtarget_journal,G1_violin2_no_dc_offtarget_journal__g1_violin2.py,archived copy,229,229
Figure 2,B,Figure 2B,Figure 2B.py,G4_exhaustion_violin_journal,G4_exhaustion_violin_journal__group4_exhaustion_violin.py,archived copy,125,125
Figure 2,C,Figure 2C,Figure 2C.py,G3_slippage_timestrip_nocodazole_aligned,G3_slippage_timestrip_nocodazole_aligned__group_slippage_timestrips.py,archived copy,1,1
Figure 2,D,Figure 2D,Figure 2D.py,G4_zm_full__p1,G4_zm_full__G4_zm_full__G4_zm_full__group4_drug.py,archived copy,143,229
Figure 2,E,Figure 2E,Figure 2E.py,G9_drug_timestrip_zm18_aligned,G9_drug_timestrip_zm18_aligned__group_drug_ablation_timestrips.py,archived copy,1,1
Figure 2 - Supplement 1,A,Figure 2 - Supplement 1A (1) G1_violin1_attempts_vs_duration__p2,Figure 2 - Supplement 1A (1) G1_violin1_attempts_vs_duration__p2.py,G1_violin1_attempts_vs_duration__p2,G1_violin1_attempts_vs_duration__G1_violin1_attempts_vs_duration__group1_build.py,archived copy,133,133
Figure 2 - Supplement 1,A,Figure 2 - Supplement 1A (2) G1_violin1_attempts_vs_duration__p1,Figure 2 - Supplement 1A (2) G1_violin1_attempts_vs_duration__p1.py,G1_violin1_attempts_vs_duration__p1,G1_violin1_attempts_vs_duration__G1_violin1_attempts_vs_duration__group1_build.py,archived copy,133,133
Figure 2 - Supplement 1,B,Figure 2 - Supplement 1B (1) G2_ablmeta_vs_duration_triple,Figure 2 - Supplement 1B (1) G2_ablmeta_vs_duration_triple.py,G2_ablmeta_vs_duration_triple,G2_ablmeta_vs_duration_triple__G2_ablmeta_vs_duration_triple__G2_ablmeta_vs_duration_triple__custom_abl_to_meta_vs_duration_20260805.py,archived copy,29,29
Figure 2 - Supplement 1,B,Figure 2 - Supplement 1B (2) G2_ablmeta_vs_duration_single,Figure 2 - Supplement 1B (2) G2_ablmeta_vs_duration_single.py,G2_ablmeta_vs_duration_single,G2_ablmeta_vs_duration_single__G2_ablmeta_vs_duration_triple__G2_ablmeta_vs_duration_triple__custom_abl_to_meta_vs_duration_20260805.py,archived copy,37,37
Figure 2 - Supplement 1,C,Figure 2 - Supplement 1C,Figure 2 - Supplement 1C.py,G4_fluor_vs_duration_zoom,G4_fluor_vs_duration_zoom__group4_fluor.py,archived copy,92,92
Figure 2 - Supplement 1,D,Figure 2 - Supplement 1D,Figure 2 - Supplement 1D.py,G1_imaging_rate_vs_metaphase_unmodified__p2,G1_imaging_rate_vs_metaphase_unmodified__G1_imaging_rate_vs_metaphase_unmodified__G1_imaging_rate_vs_metaphase_unmodified__QNEW_imaging_rate_vs_metaphase__unmodified_20260808.py,archived copy,66,66
Figure 2 - Supplement 2,A,Figure 2 - Supplement 2A,Figure 2 - Supplement 2A.py,G1_violin2_all_cohorts,G1_violin2_all_cohorts__custom_allgroup_violin_and_table_20260817.py,archived copy,236,236
Figure 2 - Supplement 2,B,Figure 2 - Supplement 2B,Figure 2 - Supplement 2B.py,G2_metaphase_early_vs_late_ablation__p1,G2_metaphase_early_vs_late_ablation__G2_metaphase_early_vs_late_ablation__G2_metaphase_early_vs_late_ablation__custom_metaphase_early_late_20260804.py,archived copy,16,16
Figure 2 - Supplement 2,C,Figure 2 - Supplement 2C,Figure 2 - Supplement 2C.py,G9_drug_timestrip_zm_aligned,G9_drug_timestrip_zm_aligned__group_drug_ablation_timestrips.py,archived copy,1,1
Figure 3,A,Figure 3A (1) AB5_EXCERPT_polar,Figure 3A (1) AB5_EXCERPT_polar.py,AB5_EXCERPT_polar,custom_ab5_excerpts_20260817.py,live builder (no archived copy),,0
Figure 3,A,Figure 3A (2) AB5_EXCERPT_hidden_in_plate,Figure 3A (2) AB5_EXCERPT_hidden_in_plate.py,AB5_EXCERPT_hidden_in_plate,custom_ab5_excerpts_20260817.py,live builder (no archived copy),,0
Figure 3,A,Figure 3A (3) nf10_lagging-stretch-rebound__20260303_Mad1_Ptk_Eyfpcdc2_ablation_1metaphase_52,Figure 3A (3) nf10_lagging-stretch-rebound__20260303_Mad1_Ptk_Eyfpcdc2_ablation_1metaphase_52.py,nf10_lagging-stretch-rebound__20260303_Mad1_Ptk_Eyfpcdc2_ablation_1metaphase_52,nf10_lagging-stretch-rebound__20260303_Mad1_Ptk_Eyfpcdc2_ablation_1metaphase_52__group_timestrips.py,archived copy,7,1
Figure 3,A,Figure 3A (4) AB5_EXCERPT_1sisterless_11,Figure 3A (4) AB5_EXCERPT_1sisterless_11.py,AB5_EXCERPT_1sisterless_11,custom_ab5_excerpts_20260817.py,live builder (no archived copy),,0
Figure 3,A,Figure 3A (5) nf10_lagging-cand-single_ablation_15__20260416_single_ablation_15,Figure 3A (5) nf10_lagging-cand-single_ablation_15__20260416_single_ablation_15.py,nf10_lagging-cand-single_ablation_15__20260416_single_ablation_15,nf10_lagging-cand-single_ablation_15__20260416_single_ablation_15__group_timestrips.py,archived copy,12,1
Figure 3,B,Figure 3B,Figure 3B.py,G4_sisbehav_swimmer,G4_sisbehav_swimmer__sisterless_behavior_vs_duration.py,archived copy,62,62
Figure 3,C,Figure 3C,Figure 3C.py,G2_trend_single_vs_triple,G2_trend_single_vs_triple__custom_plots_to_make_part2_20260722.py,archived copy,115,57
Figure 3,D,Figure 3D,Figure 3D.py,G3_kt_fate,G3_kt_fate__group3_build.py,archived copy,75,39
Figure 3,E,Figure 3E,Figure 3E.py,G4_lagging_bar,G4_lagging_bar__G4_lagging_bar.py,archived copy,4,218
Figure 3,F,Figure 3F,Figure 3F.py,G3_length_vs_congression_time__p1,G3_length_vs_congression_time__metaplate_rotation_magnitude_vs_sisterless__custom_new_figures_20260804.py,archived copy,54,33
Figure 3 - Supplement 1,A,Figure 3 - Supplement 1A (1) G4_congressed_bar,Figure 3 - Supplement 1A (1) G4_congressed_bar.py,G4_congressed_bar,G4_congressed_bar__group4_polar_lagging.py,archived copy,4,133
Figure 3 - Supplement 1,A,Figure 3 - Supplement 1A (2) G4_polar_bar,Figure 3 - Supplement 1A (2) G4_polar_bar.py,G4_polar_bar,G4_polar_bar__group4_polar_lagging.py,archived copy,5,228
Figure 3 - Supplement 1,A,Figure 3 - Supplement 1A (3) G4_neither_bar,Figure 3 - Supplement 1A (3) G4_neither_bar.py,G4_neither_bar,G4_neither_bar__group4_polar_lagging.py,archived copy,5,228
Figure 3 - Supplement 1,B,Figure 3 - Supplement 1B,Figure 3 - Supplement 1B.py,pole_to_plate_behavior_vs_duration,pole_to_plate_behavior_vs_duration__pole_to_plate_vs_duration.py,archived copy,56,229
Figure 3 - Supplement 1,C,Figure 3 - Supplement 1C (1) G3_plate_join_timing__p1,Figure 3 - Supplement 1C (1) G3_plate_join_timing__p1.py,G3_plate_join_timing__p1,G3_plate_join_timing__G3_plate_join_timing__G3_plate_join_timing__group3_plate_timing.py,archived copy,32,18
Figure 3 - Supplement 1,C,Figure 3 - Supplement 1C (2) G3_length_sum_vs_metaphase__p2,Figure 3 - Supplement 1C (2) G3_length_sum_vs_metaphase__p2.py,G3_length_sum_vs_metaphase__p2,G3_length_sum_vs_metaphase__G3_length_sum_vs_metaphase__G3_length_sum_vs_metaphase__custom_length_spread_20260722.py,archived copy,57,57
Figure 3 - Supplement 1,D,Figure 3 - Supplement 1D,Figure 3 - Supplement 1D.py,G3_length_vs_congression_time__p2,G3_length_vs_congression_time__metaplate_rotation_magnitude_vs_sisterless__custom_new_figures_20260804.py,archived copy,54,33
Figure 3 - Supplement 1,E,Figure 3 - Supplement 1E,Figure 3 - Supplement 1E.py,G3_length_sum_vs_metaphase__p1,G3_length_sum_vs_metaphase__G3_length_sum_vs_metaphase__G3_length_sum_vs_metaphase__custom_length_spread_20260722.py,archived copy,57,57
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (01) G8_lagging_fracture_timing,Figure 3 - Supplement 2B (01) G8_lagging_fracture_timing.py,G8_lagging_fracture_timing,G8_lagging_fracture_timing__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__custom_todo0818_analysis.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (02) G4_lagging_examples_outlines__p2,Figure 3 - Supplement 2B (02) G4_lagging_examples_outlines__p2.py,G4_lagging_examples_outlines__p2,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (03) G4_lagging_examples_outlines__p4,Figure 3 - Supplement 2B (03) G4_lagging_examples_outlines__p4.py,G4_lagging_examples_outlines__p4,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (04) G4_lagging_examples_outlines__p6,Figure 3 - Supplement 2B (04) G4_lagging_examples_outlines__p6.py,G4_lagging_examples_outlines__p6,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (05) G4_lagging_examples_outlines__p3,Figure 3 - Supplement 2B (05) G4_lagging_examples_outlines__p3.py,G4_lagging_examples_outlines__p3,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (06) G4_lagging_examples_outlines__p5,Figure 3 - Supplement 2B (06) G4_lagging_examples_outlines__p5.py,G4_lagging_examples_outlines__p5,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (07) G4_lagging_examples_outlines__p8,Figure 3 - Supplement 2B (07) G4_lagging_examples_outlines__p8.py,G4_lagging_examples_outlines__p8,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (08) G4_lagging_examples_outlines__p9,Figure 3 - Supplement 2B (08) G4_lagging_examples_outlines__p9.py,G4_lagging_examples_outlines__p9,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (09) G4_lagging_examples_outlines__p10,Figure 3 - Supplement 2B (09) G4_lagging_examples_outlines__p10.py,G4_lagging_examples_outlines__p10,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (10) G4_lagging_examples_outlines__p11,Figure 3 - Supplement 2B (10) G4_lagging_examples_outlines__p11.py,G4_lagging_examples_outlines__p11,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (11) G4_lagging_examples_outlines__p12,Figure 3 - Supplement 2B (11) G4_lagging_examples_outlines__p12.py,G4_lagging_examples_outlines__p12,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (12) G4_lagging_examples_outlines__p14,Figure 3 - Supplement 2B (12) G4_lagging_examples_outlines__p14.py,G4_lagging_examples_outlines__p14,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (13) G4_lagging_examples_outlines__p15,Figure 3 - Supplement 2B (13) G4_lagging_examples_outlines__p15.py,G4_lagging_examples_outlines__p15,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (14) G4_lagging_examples_outlines__p16,Figure 3 - Supplement 2B (14) G4_lagging_examples_outlines__p16.py,G4_lagging_examples_outlines__p16,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (15) G4_lagging_examples_outlines__p17,Figure 3 - Supplement 2B (15) G4_lagging_examples_outlines__p17.py,G4_lagging_examples_outlines__p17,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (16) G4_lagging_examples_outlines__p18,Figure 3 - Supplement 2B (16) G4_lagging_examples_outlines__p18.py,G4_lagging_examples_outlines__p18,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (17) G4_lagging_examples_outlines__p20,Figure 3 - Supplement 2B (17) G4_lagging_examples_outlines__p20.py,G4_lagging_examples_outlines__p20,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (18) G4_lagging_examples_outlines__p23,Figure 3 - Supplement 2B (18) G4_lagging_examples_outlines__p23.py,G4_lagging_examples_outlines__p23,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (19) G4_lagging_examples_outlines__p24,Figure 3 - Supplement 2B (19) G4_lagging_examples_outlines__p24.py,G4_lagging_examples_outlines__p24,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (20) G4_lagging_examples_outlines__p21,Figure 3 - Supplement 2B (20) G4_lagging_examples_outlines__p21.py,G4_lagging_examples_outlines__p21,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (21) G4_lagging_examples_outlines__p22,Figure 3 - Supplement 2B (21) G4_lagging_examples_outlines__p22.py,G4_lagging_examples_outlines__p22,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (22) G4_lagging_examples_outlines__p30,Figure 3 - Supplement 2B (22) G4_lagging_examples_outlines__p30.py,G4_lagging_examples_outlines__p30,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (23) G4_lagging_examples_outlines__p26,Figure 3 - Supplement 2B (23) G4_lagging_examples_outlines__p26.py,G4_lagging_examples_outlines__p26,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (24) G4_lagging_examples_outlines__p27,Figure 3 - Supplement 2B (24) G4_lagging_examples_outlines__p27.py,G4_lagging_examples_outlines__p27,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (25) G4_lagging_examples_outlines__p28,Figure 3 - Supplement 2B (25) G4_lagging_examples_outlines__p28.py,G4_lagging_examples_outlines__p28,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (26) G4_lagging_examples_outlines__p29,Figure 3 - Supplement 2B (26) G4_lagging_examples_outlines__p29.py,G4_lagging_examples_outlines__p29,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (27) G4_lagging_examples_outlines__p32,Figure 3 - Supplement 2B (27) G4_lagging_examples_outlines__p32.py,G4_lagging_examples_outlines__p32,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,B,Figure 3 - Supplement 2B (28) G4_lagging_examples_outlines__p33,Figure 3 - Supplement 2B (28) G4_lagging_examples_outlines__p33.py,G4_lagging_examples_outlines__p33,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,C,Figure 3 - Supplement 2C (1) G5_lagging_rate_since_practical_start__p1,Figure 3 - Supplement 2C (1) G5_lagging_rate_since_practical_start__p1.py,G5_lagging_rate_since_practical_start__p1,G5_lagging_rate_since_practical_start__G5_lagging_recoverable_strain__G5_lagging_recoverable_strain__custom_lagging_dynamics_20260804.py,archived copy,264,25
Figure 3 - Supplement 2,C,Figure 3 - Supplement 2C (2) G5shape_lagging_stretch_time,Figure 3 - Supplement 2C (2) G5shape_lagging_stretch_time.py,G5shape_lagging_stretch_time,G5shape_lagging_stretch_time__kt_shape_plots.py,archived copy,253,26
Figure 3 - Supplement 2,C,Figure 3 - Supplement 2C (3) G5shape_lagging_stretch_time_peak_aligned,Figure 3 - Supplement 2C (3) G5shape_lagging_stretch_time_peak_aligned.py,G5shape_lagging_stretch_time_peak_aligned,G5shape_lagging_stretch_time_peak_aligned__kt_shape_plots.py,archived copy,253,26
Figure 3 - Supplement 2,D,Figure 3 - Supplement 2D (1) G8_lagging_fracture_timing,Figure 3 - Supplement 2D (1) G8_lagging_fracture_timing.py,G8_lagging_fracture_timing,G8_lagging_fracture_timing__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__custom_todo0818_analysis.py,archived copy,34,28
Figure 3 - Supplement 2,D,Figure 3 - Supplement 2D (2) G5_lagging_piece_count_after_anaphase,Figure 3 - Supplement 2D (2) G5_lagging_piece_count_after_anaphase.py,G5_lagging_piece_count_after_anaphase,G5_lagging_piece_count_after_anaphase__G5_lagging_recoverable_strain__custom_lagging_dynamics_20260804.py,archived copy,862,26
Figure 3 - Supplement 2,D,Figure 3 - Supplement 2D (3) G8_lagging_fracture_materials,Figure 3 - Supplement 2D (3) G8_lagging_fracture_materials.py,G8_lagging_fracture_materials,G8_lagging_fracture_materials__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__G8_kt_speed_paired_vs_sisterless__custom_todo0818_analysis.py,archived copy,34,28
Figure 3 - Supplement 2,E,Figure 3 - Supplement 2E (1) G4_lagging_examples_outlines__p1,Figure 3 - Supplement 2E (1) G4_lagging_examples_outlines__p1.py,G4_lagging_examples_outlines__p1,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,E,Figure 3 - Supplement 2E (2) G4_lagging_examples_outlines__p7,Figure 3 - Supplement 2E (2) G4_lagging_examples_outlines__p7.py,G4_lagging_examples_outlines__p7,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,E,Figure 3 - Supplement 2E (3) G5_lagging_rate_since_practical_start__p2,Figure 3 - Supplement 2E (3) G5_lagging_rate_since_practical_start__p2.py,G5_lagging_rate_since_practical_start__p2,G5_lagging_rate_since_practical_start__G5_lagging_recoverable_strain__G5_lagging_recoverable_strain__custom_lagging_dynamics_20260804.py,archived copy,264,25
Figure 3 - Supplement 2,E,Figure 3 - Supplement 2E (4) G4_lagging_examples_outlines__p13,Figure 3 - Supplement 2E (4) G4_lagging_examples_outlines__p13.py,G4_lagging_examples_outlines__p13,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,E,Figure 3 - Supplement 2E (5) G4_lagging_examples_outlines__p19,Figure 3 - Supplement 2E (5) G4_lagging_examples_outlines__p19.py,G4_lagging_examples_outlines__p19,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,E,Figure 3 - Supplement 2E (6) G4_lagging_examples_outlines__p25,Figure 3 - Supplement 2E (6) G4_lagging_examples_outlines__p25.py,G4_lagging_examples_outlines__p25,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 3 - Supplement 2,E,Figure 3 - Supplement 2E (7) G4_lagging_examples_outlines__p31,Figure 3 - Supplement 2E (7) G4_lagging_examples_outlines__p31.py,G4_lagging_examples_outlines__p31,G4_lagging_examples_outlines__G4_lagging_examples_outlines__custom_lagging_examples_outlines_20260729.py,archived copy,34,28
Figure 4,A,Figure 4A (1) G6_polar_equivalent_kk_single_vs_triple,Figure 4A (1) G6_polar_equivalent_kk_single_vs_triple.py,G6_polar_equivalent_kk_single_vs_triple,G6_polar_equivalent_kk_single_vs_triple__custom_new_figures_20260804.py,archived copy,23,23
Figure 4,A,Figure 4A (2) G6tenM_equivalent_kk,Figure 4A (2) G6tenM_equivalent_kk.py,G6tenM_equivalent_kk,G6tenM_equivalent_kk__kt_tension_metaphase.py,archived copy,2952,53
Figure 4,A,Figure 4A (3) G6tenM_polar_tension_timelines,Figure 4A (3) G6tenM_polar_tension_timelines.py,G6tenM_polar_tension_timelines,G6tenM_polar_tension_timelines__kt_tension_metaphase.py,archived copy,836,53
Figure 4,B,Figure 4B (1) G6ten_withincell_over_time__p2,Figure 4B (1) G6ten_withincell_over_time__p2.py,G6ten_withincell_over_time__p2,G6ten_withincell_over_time__G6ten_withincell_over_time__kt_tension_withincell.py,archived copy,3188,50
Figure 4,B,Figure 4B (2) G6ten_withincell_over_time__p3,Figure 4B (2) G6ten_withincell_over_time__p3.py,G6ten_withincell_over_time__p3,G6ten_withincell_over_time__G6ten_withincell_over_time__kt_tension_withincell.py,archived copy,3188,50
Figure 4,B,Figure 4B (3) G6ten_withincell_over_time__p9,Figure 4B (3) G6ten_withincell_over_time__p9.py,G6ten_withincell_over_time__p9,G6ten_withincell_over_time__G6ten_withincell_over_time__kt_tension_withincell.py,archived copy,3188,50
Figure 4,B,Figure 4B (4) G6ten_withincell_over_time__p12,Figure 4B (4) G6ten_withincell_over_time__p12.py,G6ten_withincell_over_time__p12,G6ten_withincell_over_time__G6ten_withincell_over_time__kt_tension_withincell.py,archived copy,3188,50
Figure 4,C,Figure 4C (1) G6ten_withincell_over_time__p5,Figure 4C (1) G6ten_withincell_over_time__p5.py,G6ten_withincell_over_time__p5,G6ten_withincell_over_time__G6ten_withincell_over_time__kt_tension_withincell.py,archived copy,3188,50
Figure 4,C,Figure 4C (2) G6_polar_distortion_vs_chromolen_1v3,Figure 4C (2) G6_polar_distortion_vs_chromolen_1v3.py,G6_polar_distortion_vs_chromolen_1v3,G6_polar_distortion_vs_chromolen_1v3__custom_polar_tension_vs_chromolen_20260805.py,archived copy,23,20
